City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
54,Santa Fe,AR,2022-05-05 00:55:18,-31.6333,-60.7,60.98,79,48,1.99
55,Xiaoshi,CN,2022-05-05 00:55:19,41.2971,124.1209,64.74,52,100,11.34
56,Sierra Vista,US,2022-05-05 00:55:20,31.5545,-110.3037,79.75,9,0,16.11
57,Butaritari,KI,2022-05-05 00:55:20,3.0707,172.7902,81.43,76,18,13.13
58,Tiksi,RU,2022-05-05 00:55:21,71.6872,128.8694,15.89,94,100,3.87
59,Umm Kaddadah,SD,2022-05-05 00:55:21,13.6017,26.6876,80.33,42,7,4.88
60,Anadyr,RU,2022-05-05 00:55:22,64.75,177.4833,30.7,69,0,6.71
61,Grand Gaube,MU,2022-05-05 00:55:09,-20.0064,57.6608,77.4,77,28,5.99
62,Rafraf,TN,2022-05-05 00:55:22,37.1904,10.1837,64.72,79,66,18.54
63,Port Blair,IN,2022-05-05 00:55:23,11.6667,92.75,80.64,83,75,2.3
64,Hilo,US,2022-05-05 00:55:23,19.7297,-155.09,79.29,95,99,4.0
65,Saskylakh,RU,2022-05-05 00:55:24,71.9167,114.0833,26.65,92,100,5.82
66,Clyde River,CA,2022-05-05 00:55:24,70.4692,-68.5914,17.83,73,40,11.5
67,Malinyi,TZ,2022-05-05 00:55:25,-8.9333,36.1333,65.68,89,3,2.28
68,Souillac,MU,2022-05-05 00:55:25,-20.5167,57.5167,77.38,88,40,14.97
69,Hamilton,US,2022-05-05 00:51:47,39.1834,-84.5333,58.87,81,100,6.91
70,Ushuaia,AR,2022-05-05 00:55:26,-54.8,-68.3,38.86,75,0,5.75
71,Dwarka,IN,2022-05-05 00:55:26,22.2394,68.9678,81.54,82,13,10.07
72,Yinchuan,CN,2022-05-05 00:52:50,38.4681,106.2731,75.85,20,20,10.02
73,Laguna,US,2022-05-05 00:55:27,38.421,-121.4238,90.75,24,0,4.0
74,Komsomolskiy,UZ,2022-05-05 00:55:27,40.4272,71.7189,65.12,77,20,4.61
75,Ibra,OM,2022-05-05 00:55:28,22.6906,58.5334,78.24,31,0,3.8
76,Lompoc,US,2022-05-05 00:55:28,34.6391,-120.4579,82.54,77,0,14.97
77,Boralday,KZ,2022-05-05 00:55:29,43.3578,76.8594,62.46,82,100,4.47
78,Hasaki,JP,2022-05-05 00:55:29,35.7333,140.8333,72.28,72,100,14.03
79,Andenes,NO,2022-05-05 00:55:30,69.3143,16.1194,33.78,69,0,16.11
