City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Cockburn Town,TC,21.4612,-71.1419,80.67,68,0,0.38,clear sky
123,Lagoa,PT,39.05,-27.9833,57.92,65,73,13.53,broken clouds
124,Oxapampa,PE,-10.5775,-75.4017,66.11,88,50,2.86,scattered clouds
125,Ahuimanu,US,21.4447,-157.8378,80.31,67,0,14.97,clear sky
126,Kindersley,CA,51.4668,-109.1682,58.78,27,0,5.75,clear sky
127,New Norfolk,AU,-42.7826,147.0587,49.71,89,100,2.93,overcast clouds
128,Ambovombe,MG,-25.1667,46.0833,67.55,79,11,6.69,few clouds
129,Henties Bay,NA,-22.116,14.2845,61.27,72,4,5.48,clear sky
130,Nago,JP,26.5881,127.9761,76.05,89,100,2.26,heavy intensity rain
131,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,74,15,11.03,few clouds
132,Amboasary,MG,-25.0333,46.3833,67.35,84,10,4.16,clear sky
133,Lorengau,PG,-2.0226,147.2712,81.84,74,100,8.41,overcast clouds
134,Buchanan,LR,5.8808,-10.0467,80.44,83,27,6.85,scattered clouds
135,Vitim,RU,59.4511,112.5578,33.01,98,84,2.62,broken clouds
136,Caravelas,BR,-17.7125,-39.2481,75.02,74,81,6.58,broken clouds
137,Vestmannaeyjar,IS,63.4427,-20.2734,39.33,64,100,7.11,overcast clouds
138,Vao,NC,-22.6667,167.4833,73.56,61,100,27.04,overcast clouds
139,Carnarvon,AU,-24.8667,113.6333,68.07,88,40,5.75,scattered clouds
140,Praia,CV,14.9215,-23.5087,75.74,69,0,16.11,clear sky
141,Iqaluit,CA,63.7506,-68.5145,27.7,68,100,18.01,overcast clouds
142,Puerto Ayora,EC,-0.7393,-90.3518,80.56,90,47,4.0,scattered clouds
143,East London,ZA,-33.0153,27.9116,62.11,74,8,7.74,clear sky
144,Burns Lake,CA,54.2331,-125.7533,46.18,60,100,6.67,overcast clouds
145,Sur,OM,22.5667,59.5289,86.59,41,78,8.39,broken clouds
146,Bealanana,MG,-14.55,48.7333,61.2,96,9,1.57,clear sky
147,Fare,PF,-16.7,-151.0167,81.79,76,3,16.98,light rain
148,Bollnas,SE,61.3482,16.3946,49.41,75,100,9.19,overcast clouds
149,Kyela,TZ,-9.5833,33.85,69.01,83,0,3.29,clear sky
150,Pemba,MZ,-12.974,40.5178,76.21,78,0,13.35,light rain
151,Kaitangata,NZ,-46.2817,169.8464,43.65,86,7,8.19,clear sky
152,Laguna,US,38.421,-121.4238,68.29,35,0,8.05,clear sky
153,Playas,EC,-2.6333,-80.3833,74.1,83,88,11.95,overcast clouds
154,Fortuna,US,40.5982,-124.1573,57.85,71,100,11.5,overcast clouds
155,Victoria,HK,22.2855,114.1577,80.65,92,100,11.99,light rain
156,Broken Hill,AU,-31.95,141.4333,56.86,92,92,7.23,overcast clouds
157,Maltahohe,NA,-24.8333,16.9833,62.04,28,53,8.93,broken clouds
158,Kristianstad,SE,56.0313,14.1524,52.95,86,75,6.91,drizzle
159,Dalby,AU,-27.1833,151.2667,66.97,94,100,1.01,light rain
160,Codrington,AU,-38.2667,141.9667,56.52,93,100,4.81,overcast clouds
161,Lavrentiya,RU,65.5833,-171.0,34.0,98,96,7.11,overcast clouds
162,Banjar,ID,-8.19,114.9675,78.26,89,100,1.9,overcast clouds
163,Cape Town,ZA,-33.9258,18.4232,57.11,87,0,2.75,clear sky
164,Tuktoyaktuk,CA,69.4541,-133.0374,33.76,78,60,13.73,broken clouds
165,Gilgit,PK,35.9221,74.3087,71.13,53,40,4.32,scattered clouds
166,Ituango,CO,7.1712,-75.764,68.88,89,95,2.26,overcast clouds
167,Makali,SL,8.6333,-11.6667,78.46,77,34,4.45,scattered clouds
168,Lacolle,CA,45.0834,-73.3659,82.65,17,0,1.1,clear sky
169,Wasilla,US,61.5814,-149.4394,49.48,39,0,6.91,clear sky
170,Solec Kujawski,PL,53.0837,18.2257,71.98,43,0,9.22,clear sky
171,Kavieng,PG,-2.5744,150.7967,82.22,78,100,11.45,overcast clouds
172,Lompoc,US,34.6391,-120.4579,74.57,56,0,25.99,clear sky
173,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.03,48,1,5.59,clear sky
174,Sibu,MY,2.3,111.8167,75.33,99,66,0.92,broken clouds
175,Bankfoot,GB,56.5,-3.5,54.46,73,33,14.0,scattered clouds
176,Cabo San Lucas,MX,22.8909,-109.9124,94.6,35,0,5.75,clear sky
177,Nantucket,US,41.2835,-70.0995,51.94,91,100,24.16,mist
178,Miri,MY,4.4148,114.0089,78.08,89,100,3.15,light rain
179,Oistins,BB,13.0667,-59.5333,82.49,69,20,18.41,few clouds
180,Clyde River,CA,70.4692,-68.5914,21.43,93,40,24.16,light snow
181,Mar Del Plata,AR,-38.0023,-57.5575,55.42,77,0,11.99,clear sky
182,Saint-Joseph,RE,-21.3667,55.6167,75.58,81,48,3.65,scattered clouds
183,Kavaratti,IN,10.5669,72.642,84.88,67,73,12.15,broken clouds
184,Tiarei,PF,-17.5333,-149.3333,84.22,79,18,17.58,light rain
185,Vaini,TO,-21.2,-175.2,73.56,78,75,10.36,light intensity drizzle
186,Sao Sebastiao Do Cai,BR,-29.5867,-51.3756,66.16,91,83,3.53,broken clouds
187,Mahina,PF,-17.5065,-149.489,83.97,65,40,4.61,scattered clouds
188,Yumen,CN,40.2833,97.2,56.46,20,100,8.16,overcast clouds
189,Novouzensk,RU,50.4592,48.1431,44.49,90,100,17.02,moderate rain
190,Bandarbeyla,SO,9.4942,50.8122,82.02,84,100,8.66,overcast clouds
191,Daltenganj,IN,24.0333,84.0667,85.33,57,7,7.29,clear sky
192,Bengkulu,ID,-3.8004,102.2655,77.83,89,81,10.89,broken clouds
193,Tahe,CN,52.3333,124.7333,25.03,86,28,4.27,scattered clouds
194,Xai-Xai,MZ,-25.0519,33.6442,68.22,76,60,7.78,broken clouds
195,Ucluelet,CA,48.9329,-125.5528,49.08,78,100,3.0,overcast clouds
196,Tocopilla,CL,-22.092,-70.1979,68.07,69,19,5.21,few clouds
197,Mersing,MY,2.4312,103.8405,78.24,90,72,2.8,broken clouds
198,Paragominas,BR,-2.9667,-47.4833,80.74,85,56,2.51,broken clouds
199,Novonukutskiy,RU,53.7002,102.7117,36.91,51,4,5.66,clear sky
200,Aykhal,RU,66.0,111.5,33.53,88,100,16.78,overcast clouds
201,Gotsu,JP,35.0,132.2167,62.94,94,100,5.77,overcast clouds
202,Krasnoye,UA,49.9145,24.6134,58.75,85,99,7.76,overcast clouds
203,Dosso,NE,13.049,3.1937,98.94,24,31,1.5,scattered clouds
204,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,47,0,6.91,clear sky
205,Ofunato,JP,39.0717,141.7167,55.92,92,100,3.53,overcast clouds
206,Vostok,RU,46.4856,135.8833,41.34,94,100,5.91,light rain
207,Manokwari,ID,-0.8667,134.0833,77.99,81,95,6.35,overcast clouds
208,Rawson,AR,-43.3002,-65.1023,56.8,59,100,19.82,overcast clouds
209,Saint-Leu,RE,-21.15,55.2833,76.06,75,83,2.53,broken clouds
210,Ko Samui,TH,9.5357,99.9357,82.96,79,98,13.22,overcast clouds
211,Dingle,PH,10.9995,122.6711,78.22,85,82,6.13,broken clouds
212,La Ronge,CA,55.1001,-105.2842,50.58,43,35,1.72,scattered clouds
213,Alice Springs,AU,-23.7,133.8833,38.75,81,17,4.61,few clouds
214,Ashland,US,40.8167,-82.2665,82.94,50,25,9.24,scattered clouds
215,Banyo,CM,6.75,11.8167,68.49,93,100,0.51,moderate rain
216,Changzhou,CN,31.7833,119.9667,61.84,84,100,6.35,overcast clouds
217,Kasempa,ZM,-13.4584,25.8338,63.01,61,6,3.65,clear sky
218,Yamada,JP,39.4667,141.95,56.64,87,100,7.34,overcast clouds
219,Rundu,NA,-17.9333,19.7667,61.0,23,0,3.27,clear sky
220,Faanui,PF,-16.4833,-151.75,81.72,76,19,17.98,light rain
221,Chuy,UY,-33.6971,-53.4616,60.15,70,100,12.1,overcast clouds
222,Swan River,CA,52.1058,-101.2676,62.08,47,57,11.7,broken clouds
223,Kanniyakumari,IN,8.0833,77.5667,81.72,82,87,18.66,overcast clouds
224,Avarua,CK,-21.2078,-159.775,82.45,78,75,10.36,broken clouds
225,Zykovo,RU,55.9519,93.1461,29.14,50,19,3.96,few clouds
226,Urumqi,CN,43.801,87.6005,61.75,48,0,4.47,clear sky
227,Huarmey,PE,-10.0681,-78.1522,69.87,76,14,10.18,few clouds
228,Tilichiki,RU,60.4667,166.1,31.73,91,100,5.14,overcast clouds
229,Galich,RU,58.3797,42.3475,49.23,80,100,3.56,overcast clouds
230,Longyearbyen,SJ,78.2186,15.6401,21.04,68,20,8.05,few clouds
231,Ankazoabo,MG,-22.2833,44.5167,64.06,64,0,7.52,clear sky
232,Quatre Cocos,MU,-20.2078,57.7625,75.31,78,15,6.08,few clouds
233,Kalianget,ID,-7.05,113.9333,80.46,83,100,2.19,overcast clouds
234,San Andres,CO,12.5847,-81.7006,86.02,70,75,9.22,broken clouds
235,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.7,61,66,10.18,broken clouds
236,Kondagaon,IN,19.6,81.6667,77.59,75,87,8.57,overcast clouds
237,Hofn,IS,64.2539,-15.2082,40.5,65,100,4.0,overcast clouds
238,Cherskiy,RU,68.75,161.3,22.19,93,100,11.56,overcast clouds
239,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,18.41,few clouds
240,Ojuelos De Jalisco,MX,21.8667,-101.5833,80.56,23,2,18.05,clear sky
241,Dunedin,NZ,-45.8742,170.5036,47.17,72,1,7.16,clear sky
242,Trincomalee,LK,8.5711,81.2335,83.32,72,100,22.01,overcast clouds
243,Tasiilaq,GL,65.6145,-37.6368,26.76,72,94,1.99,overcast clouds
244,Partyzany,UA,46.3314,34.7503,52.32,49,83,4.52,broken clouds
245,Odienne,CI,9.51,-7.5692,85.15,47,28,4.81,scattered clouds
246,Saint George,US,37.1041,-113.5841,75.79,12,0,29.93,haze
247,Khonsa,IN,27.0167,95.5667,64.58,97,73,2.68,broken clouds
248,The Valley,AI,18.217,-63.0578,84.06,80,100,20.6,overcast clouds
249,Richards Bay,ZA,-28.783,32.0377,72.32,77,86,9.78,overcast clouds
250,Maceio,BR,-9.6658,-35.7353,76.44,88,75,3.44,broken clouds
251,Ust-Ilimsk,RU,58.0006,102.6619,40.08,73,66,1.74,broken clouds
252,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,65,75,0.0,broken clouds
253,Portland,US,45.5234,-122.6762,62.74,53,75,10.36,broken clouds
254,Slave Lake,CA,55.2834,-114.769,53.37,43,70,6.29,broken clouds
255,Stawell,AU,-37.05,142.7667,54.82,94,100,4.79,light rain
256,Kenai,US,60.5544,-151.2583,54.03,36,0,10.36,clear sky
257,Tigil,RU,57.8,158.6667,41.18,75,80,2.35,broken clouds
258,Luganville,VU,-15.5333,167.1667,78.66,83,100,18.5,overcast clouds
259,Panchagarh,BD,26.3313,88.562,77.27,87,2,1.1,clear sky
260,Umm Kaddadah,SD,13.6017,26.6876,88.74,9,62,13.27,broken clouds
261,Guozhen,CN,34.3659,107.359,58.26,87,58,4.43,broken clouds
262,Ukiah,US,39.1502,-123.2078,66.16,46,20,10.36,few clouds
263,Togur,RU,58.3631,82.8265,44.71,55,100,6.53,overcast clouds
264,Chara,RU,56.9064,118.2631,33.19,87,100,3.42,light snow
265,Sept-Iles,CA,50.2001,-66.3821,52.05,58,87,5.01,overcast clouds
266,Narsaq,GL,60.9167,-46.05,34.3,99,100,2.13,snow
267,Ubauro,PK,28.1652,69.7289,99.01,13,0,15.17,clear sky
268,Salalah,OM,17.0151,54.0924,85.95,45,14,4.21,few clouds
269,Seybaplaya,MX,19.65,-90.6667,89.06,66,17,17.92,few clouds
270,Korla,CN,41.7597,86.1469,72.34,28,69,18.72,broken clouds
271,Kieta,PG,-6.2167,155.6333,78.76,82,100,2.71,overcast clouds
272,Fuling,CN,29.7022,107.3919,66.58,89,100,2.06,overcast clouds
273,Mogadishu,SO,2.0371,45.3438,81.7,82,6,13.67,clear sky
274,Chongwe,ZM,-15.3292,28.682,64.98,64,68,3.44,broken clouds
275,Kisangani,CD,0.5167,25.2,72.61,97,100,2.44,light rain
276,Quetame,CO,4.3323,-73.8614,68.05,84,99,1.7,overcast clouds
277,Zharkent,KZ,44.1628,80.0,64.81,65,100,1.61,overcast clouds
278,Norman Wells,CA,65.282,-126.8329,43.05,58,99,1.1,overcast clouds
279,Wakkanai,JP,45.4094,141.6739,50.29,69,100,12.64,overcast clouds
280,Monrovia,LR,6.3005,-10.7969,80.37,82,57,8.25,broken clouds
281,Christchurch,NZ,-43.5333,172.6333,36.41,93,39,3.44,scattered clouds
282,Marsa Matruh,EG,31.3525,27.2453,65.35,75,86,6.04,overcast clouds
283,Flinders,AU,-34.5833,150.8552,62.38,93,100,4.0,moderate rain
284,Srednekolymsk,RU,67.45,153.6833,21.09,91,79,6.17,broken clouds
285,Lasa,IT,46.6166,10.7002,54.25,92,51,1.28,broken clouds
286,Dunmore Town,BS,25.5,-76.65,74.21,75,56,8.68,light rain
287,Kruisfontein,ZA,-34.0033,24.7314,53.6,85,0,5.93,clear sky
288,Baculin,PH,7.4525,126.5842,77.52,87,97,1.68,overcast clouds
289,Macapa,BR,0.0389,-51.0664,89.58,62,40,6.91,scattered clouds
290,Kayerkan,RU,69.3497,87.7602,28.53,100,100,12.8,snow
291,Spearfish,US,44.4908,-103.8594,72.27,56,0,10.36,clear sky
292,Pascagoula,US,30.3658,-88.5561,93.42,38,0,0.0,clear sky
293,Hermon,US,44.8101,-68.9134,77.31,18,20,1.01,few clouds
294,San Quintin,MX,30.4833,-115.95,64.08,54,97,24.7,overcast clouds
295,Tendukheda,IN,23.4,79.55,91.18,26,0,6.46,clear sky
296,Barranca,PE,-10.75,-77.7667,67.69,76,16,10.25,few clouds
297,Vila Velha,BR,-20.3297,-40.2925,80.55,69,20,10.36,few clouds
298,Ust-Omchug,RU,61.15,149.6333,26.89,94,90,2.19,overcast clouds
299,Muzhi,RU,65.3667,64.6667,36.46,97,46,4.45,scattered clouds
300,Cochrane,CA,51.1834,-114.4687,55.62,33,48,9.4,scattered clouds
301,Boali,CF,4.8005,18.1275,72.63,89,70,3.06,broken clouds
302,Anori,BR,-3.7728,-61.6442,83.7,71,99,3.02,overcast clouds
