City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
143,East London,ZA,62.11,clear sky,-33.0153,27.9116,Tu Casa
147,Fare,PF,81.79,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
149,Kyela,TZ,69.01,clear sky,-9.5833,33.85,ML Inn
150,Pemba,MZ,76.21,light rain,-12.974,40.5178,Guesthouse Samotina
152,Laguna,US,68.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
153,Playas,EC,74.1,overcast clouds,-2.6333,-80.3833,Hostal Promenade
154,Fortuna,US,57.85,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
155,Victoria,HK,80.65,light rain,22.2855,114.1577,Mini Central
156,Broken Hill,AU,56.86,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
158,Kristianstad,SE,52.95,drizzle,56.0313,14.1524,First Hotel Christian IV
159,Dalby,AU,66.97,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
160,Codrington,AU,56.52,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
162,Banjar,ID,78.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
163,Cape Town,ZA,57.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
165,Gilgit,PK,71.13,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
166,Ituango,CO,68.88,overcast clouds,7.1712,-75.764,HOTEL LA CASONA ITUANGO
168,Lacolle,CA,82.65,clear sky,45.0834,-73.3659,Motel Lacolle
170,Solec Kujawski,PL,71.98,clear sky,53.0837,18.2257,MM-Rooms
171,Kavieng,PG,82.22,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
172,Lompoc,US,74.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
173,Presidencia Roque Saenz Pena,AR,72.03,clear sky,-26.7852,-60.4388,Hotel Gualok
174,Sibu,MY,75.33,broken clouds,2.3,111.8167,RH HOTEL (4 Star)
175,Bankfoot,GB,54.46,scattered clouds,56.5,-3.5,Bankfoot Inn
177,Nantucket,US,51.94,mist,41.2835,-70.0995,Jared Coffin House
178,Miri,MY,78.08,light rain,4.4148,114.0089,"Mega Hotel, Miri"
179,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
181,Mar Del Plata,AR,55.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
