City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Khatanga,RU,71.9667,102.5,20.21,90,100,6.78,overcast clouds
104,Grindavik,IS,63.8424,-22.4338,39.67,56,75,14.97,broken clouds
105,Saldanha,ZA,-33.0117,17.9442,60.19,66,90,5.97,overcast clouds
106,Stromness,GB,58.965,-3.296,46.87,85,96,7.0,overcast clouds
107,Souillac,MU,-20.5167,57.5167,73.98,72,32,9.48,scattered clouds
108,Ancud,CL,-41.8697,-73.8203,51.3,70,100,5.39,overcast clouds
109,Hermanus,ZA,-34.4187,19.2345,59.81,73,87,9.44,light rain
110,Santa Maria,BR,-29.6842,-53.8069,62.01,79,99,6.46,overcast clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,100,16.11,light snow
112,Yellowknife,CA,62.456,-114.3525,53.38,48,80,12.37,broken clouds
113,Tateyama,JP,34.9833,139.8667,70.11,88,75,11.5,shower rain
114,Cidreira,BR,-30.1811,-50.2056,64.02,72,34,5.08,scattered clouds
115,Cap Malheureux,MU,-19.9842,57.6142,70.47,77,30,3.0,scattered clouds
116,Hamilton,US,39.1834,-84.5333,86.11,47,20,8.05,few clouds
117,Nikolskoye,RU,59.7035,30.7861,49.91,69,80,10.22,broken clouds
118,Eltham,NZ,-39.4292,174.3,55.96,90,100,4.92,overcast clouds
119,Chuy,UY,-33.6971,-53.4616,61.09,65,95,5.55,overcast clouds
120,Nouadhibou,MR,20.931,-17.0347,73.87,53,99,22.01,overcast clouds
121,Henties Bay,NA,-22.116,14.2845,57.42,82,0,8.57,clear sky
122,Trinidad,BO,-14.8333,-64.9,89.58,55,20,9.22,few clouds
123,Ulaanbaatar,MN,47.9077,106.8832,23.13,80,0,4.47,clear sky
124,Puerto Parra,CO,6.6515,-74.0573,94.62,46,86,1.43,overcast clouds
125,Loyga,RU,61.0784,44.6075,42.69,95,96,7.74,overcast clouds
126,Carutapera,BR,-1.195,-46.02,80.42,86,41,7.92,scattered clouds
127,Chokurdakh,RU,70.6333,147.9167,14.36,91,100,5.64,overcast clouds
128,Castro,BR,-24.7911,-50.0119,66.06,70,0,1.34,clear sky
129,Hobart,AU,-42.8794,147.3294,53.28,91,75,5.75,moderate rain
130,Mar Del Plata,AR,-38.0023,-57.5575,57.94,81,100,4.0,overcast clouds
131,Tiksi,RU,71.6872,128.8694,14.36,90,28,11.39,scattered clouds
132,Katsuura,JP,35.1333,140.3,68.02,95,100,25.21,light rain
133,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,78.46,39,36,4.94,scattered clouds
134,Summerside,CA,46.3959,-63.7876,60.82,58,75,19.24,broken clouds
135,Lagoa,PT,39.05,-27.9833,59.45,77,100,2.17,light rain
